TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-28 03:04:00+00,92.5,60.29999924,249.5,174.8999939,174.8999939,174.8999939,174.8999939
2026-04-28 03:06:00+00,95.5,60.20000076,249.1999969,175,175,174.8999939,174.8999939
2026-04-28 03:08:00+00,94.09999847,61.70000076,251.3999939,174.8000031,174.8999939,175,175
2026-04-28 03:10:00+00,95.90000153,61.90000153,249.3999939,175,174.8999939,175,175.3000031
2026-04-28 03:16:00+00,89.90000153,60.20000076,249.3999939,175,175.1000061,175.1999969,174.8999939
2026-04-28 03:18:00+00,94.59999847,60.09999847,248,175,174.8999939,175.1999969,174.8000031
2026-04-28 03:25:00+00,89.69999695,60,249.6000061,175,174.6999969,175.1000061,175.1000061
2026-04-28 03:29:00+00,93.5,60.5,250.3000031,175,175,175,174.6999969
2026-04-28 03:30:00+00,92.09999847,60.20000076,248.6000061,175.1000061,175,174.8999939,174.6999969
2026-04-28 03:34:00+00,92.80000305,60.29999924,248.5,175,175,175.1000061,175
2026-04-28 03:39:00+00,93.90000153,60.90000153,241.8000031,175.1000061,175.1000061,175,175
2026-04-28 03:57:00+00,91.80000305,60,250.6000061,174.6999969,174.8999939,175.1000061,174.8000031
2026-04-28 04:00:00+00,95.19999695,62,247.6000061,175,174.8000031,174.8999939,175.1000061
2026-04-28 04:03:00+00,90.59999847,60.40000153,250.8000031,175,175,175,175.5
2026-04-28 04:21:00+00,89.40000153,60.5,249,175.1999969,175,175,175
2026-04-28 04:25:00+00,93.40000153,60.70000076,249.3999939,174.8000031,175,174.8999939,174.8999939
2026-04-28 04:49:00+00,91.90000153,60.29999924,250.3000031,175,175,175,174.8999939
2026-04-28 04:50:00+00,95,61.09999847,250.6999969,175,175,175,175.1000061
2026-04-28 04:51:00+00,93.5,61.20000076,249.5,175,175.1000061,175,175.1000061
2026-04-28 05:15:00+00,91.40000153,60.40000153,250.3999939,175.1000061,175,174.8999939,175.1000061
2026-04-28 05:56:00+00,95.5,60.09999847,251,175.1000061,174.8999939,174.8999939,174.3000031
2026-04-28 06:08:00+00,91,60.09999847,252.3999939,174.8000031,175.1000061,175.1000061,174.8000031
2026-04-28 06:11:00+00,96.69999695,62.40000153,249.6000061,174.8999939,175,174.8999939,174.8000031
2026-04-28 07:48:00+00,94,60.09999847,245.6999969,174.8999939,175,174.8999939,175.3000031
2026-04-28 08:33:00+00,91.5,60.09999847,242.5,175,175,175.1000061,175
2026-04-28 08:39:00+00,96,61.40000153,245.1000061,174.6999969,175,175,175
2026-04-28 08:40:00+00,92.09999847,60.59999847,243.3000031,175.1999969,175.3999939,175.1000061,175.8000031
2026-04-28 08:48:00+00,93.09999847,60,241.3999939,175.1000061,174.8999939,174.8999939,174.6999969
2026-04-28 09:00:00+00,94.69999695,60.40000153,244.8000031,175,175.1000061,175.1999969,175.3000031
2026-04-28 09:25:00+00,95.5,63.09999847,248.8999939,175,174.8000031,174.8999939,174.8999939
